繁體	简体	吴拼	原书转写吴拼	页码
風指甲	风指甲	fon tsy khaq	fon tsy khaq	42
風涼鞋	风凉鞋	fon lian gha	fon lian gha	42
烏	乌	u5	u5	42
烏子	乌子	u tsy	u tsy	42
烏	乌	u3	u3	42
烏青	乌青	u chin	u chin	43
烏筍	乌笋	u syun	u syun	43
烏斑	乌斑	u pae	u pae	43
烏龍送	乌龙送	u lon son	u lon son	43
烏倫村	乌伦村	u len tshen	u len tshen	43
烏老鴉	乌老鸦	u lau o	u lau o	43
烏油油	乌油油	u yeu yeu	u yeu yeu	43
烏腳雞	乌脚鸡	u ciaq ci	u ciq ci	43
烏骨雞	乌骨鸡	u kuaq ci	u kuaq ci	43
烏清早	乌清早	u chin tsau	u chin tsau	43
烏稍蛇	乌稍蛇	u shiau dzo	u shiau dzo	43
烏筱絲	乌筱丝	u shiau sy	u shiau sy	43
烏鱧魚	乌鳢鱼	u li ng	u li ng	43
烏風猛暴	乌风猛暴	u fon man pau	u fon man pau	44
烏鼻頭蟲	乌鼻头虫	u baq deu dzon	u baq deu dzon	44
田雞肚肚	田鸡肚肚	di ci du du	di ci du du	44
烏肚腸	乌肚肠	u du jian	u du jian	44
烏鰂骨頭	乌鲗骨头	u zaq kuaq deu	u zaq kuaq deu	44
烏鰂骨	乌鲗骨	u zaq kuaq	u zaq kuaq	44
烏嘴烏臉	乌嘴乌脸	u tsyu u li	u tsyu u li	44
烏鱧魚瓜	乌鳢鱼瓜	u li ng kuo	u li ng kuo	44
鳳凰簫	凤凰箫	von waon shiau	von waon shiau	44
六穀	六谷	loq koq	loq koq	44
六斤四兩	六斤四两	loq cin sy lian	loq cin sy lian	44
文氣	文气	ven chi	ven chi	44
文旦	文旦	ven tae	ven tae	44
方頓頓	方顿顿	faon ten ten	faon ten ten	44
火大	火大	hou dou	hou dou	44
火氣	火气	hou chi	hou chi	45
火櫃	火柜	hou jiu	hou jiu	45
火櫃頭	火柜头	hou jiu deu	hou jiu deu	45
火杴	火杴	hou shi	hou shi	45
火輪	火轮	hou len	hou len	45
火油	火油	hou yeu	hou yeu	45
火缸	火缸	hou kaon	hou kaon	45
火栝	火栝	hou thi	hou thi	45
火栝棒頭	火栝棒头	hou thi baon deu	hou thi baon deu	45
火叉	火叉	hou tshoe	hou tshoe	45
火耙	火耙	hou bo	hou bo	45
火耙	火耙	hou boe	hou boe	45
火鉗	火钳	hou ji	hou ji	45
火着	火着	hou jiaq	hou jiq	45
火熜	火㷓	hou tshon	hou tshon	46
火管	火管	hou kun	hou ku	46
火車路	火车路	hou tsho lu	hou tsho lu	46
火老鴉	火老鸦	hou lau o	hou lau o	46
火赤練	火赤练	hou tshoq li	hou tshoq li	46
火赤練	火赤练	hou tshoq yi	hou tshoq yi	46
火油箱	火油箱	hou yeu shian	hou yeu shian	46
火炦氣	火炦气	hou baq chi	hou baq chi	46
火熱烔	火热烔	hou gniq don	hou gniq don	46
火𤵥病	火𤵥病	hou zau bin	hou zau bin	46
火螢頭	火萤头	hou yin dei	hou yin dei	46
火螢頭	火萤头	hou yon dei	hou yon dei	46
火螢頭	火萤头	hou yin deu	hou yin deu	46
火螢頭	火萤头	hou yon deu	hou yon deu	46
火燉酒	火炖酒	hou ten cieu	hou ten cieu	46
火種旁生	火种旁生	hou tson ban san	hou tson ban san	46
火種旁生	火种旁生	hou tshon ban san	hou tshon ban san	46
火熱涾涾滾	火热涾涾滚	hou gniq daq daq kuen	hou gniq daq daq kuen	47
鬥	斗	teu5	teu5	47
鬥風	斗风	teu fon	teu fon	47
鬥水	斗水	teu syu	teu syu	47
鬥帳	斗帐	teu cian	teu cian	47
軋帳	轧帐	gaq cian	gaq cian	47
鬥𥉻眼	斗𥉻眼	teu chi ngae	teu chi ngae	47
計較	计较	ci kau	ci kau	47
認樣	认样	gnin yan	gnin yan	47
認真話	认真话	gnin cin wo	gnin cin wo	47
認真道話	认真话	gnin cin dau wo	gnin cin dau wo	47
心網	心网	shin maon	shin maon	48
心相	心相	shin shian	shin shian	48
心度	心度	shin du	shin du	48
心焦	心焦	shin ciau	shin ciau	48
心想	心想	shin shian	shin shian	48
心急慌忙	心急慌忙	shin ciq huaon maon	shin ciq huaon maon	48
心煩幾糟	心烦几糟	shin vae ci tsau	shin vae ci tsau	48
心塞眼閉	心塞眼闭	shin saq ngae pi	shin saq ngae pi	48
尺四鑊	尺四镬	tshaq sy ghoq	tshaq sy ghoq	48
尺四鑊	尺四镬	tshaq sy ghon	tshaq sy ghon	48
引犯	引犯	yin vae	yin vae	48
引僝	引僝	yin zae	yin zae	48
爿	爿	bae2	bae2	48
巴結	巴结	po ciq	po ciq	49
巴弗能夠	巴弗能够	po vaq nen keu	po faq nen keu	49
隊夥	队伙	dei hou	dei hou	49
雙夾拄	双夹拄	saon kaq tsyu	saon kaq tsyu	49
雙缸醬	双缸酱	saon kaon cian	saon kaon cian	49
雙身老𡢿	双身老𭑸	saon shin lau gnion	saon shin lau gnion	49
書報架	书报架	syu pau ko	syu pau ko	49
書獨頭	书独头	syu doq deu	syu doq deu	49
末	末	maq8	maq8	49
末腳	末脚	maq ciaq	maq ciq	49
末肚囡	末肚囡	maq tu noe	maq tu noe	49
末末豆腐	末末豆腐	maq maq deu vu	maq maq deu vu	49
末末腐	末末腐	maq maq vu	maq maq vu	49
末肚兒子	末肚儿子	maq tu ng tsy	maq tu ng tsy	50
打	打	tan3	tan3	50
打長	打长	tan jian	tan jian	50
打回	打回	tan wei	tan wei	50
打帳	打帐	tan cian	tan cian	50
打帳	打帐	tae cian	tae cian	50
打凍	打冻	tan ton	tan ton	50
打勢	打势	tan syu	tan syu	50
打朋	打朋	tan ban	tan ban	51
打泅	打泅	tan jieu	tan jieu	51
打拼	打拼	tan phin	tan phin	51
打䬵	打䬵	tan ge	tan ge	51
打渾	打浑	tan wen	tan wen	51
打渾	打浑	tan uen	tan uen	51
打埋	打埋	tae mae	tae mae	51
打揫	打揫	tan chieu	tan chieu	51
打橫	打横	tan wan	tan wan	51
打襉	打裥	tan kae	tan kae	52
打手銃	打手铳	tan shieu tshon	tan shieu tshon	52
打弗殺	打弗杀	tan vaq saq	tan faq saq	52
打老K	打老K	tan lau khe	tan lau khe	52
打殺坯	打杀坯	tan saq phei	tan saq phei	52
打把勢	打把势	tan po syu	tan po syu	52
打巴勢	打巴势	tan po syu	tan po syu	52
打虎跳	打虎跳	tan fu thiau	tan fu thiau	52
打相打	打相打	tan shian tan	tan shian tan	52
打迾軋	打迾轧	tan laq gaq	tan laq gaq	52
打獨流	打独流	tan doq lieu	tan doq lieu	53
打彈子	打弹子	tan dae tsy	tan dae tsy	53
打蛋糕	打蛋糕	tan dae kau	tan dae kau	53
打跔泥	打跔泥	tan geu gni	tan geu gni	53
打瞌𥅻	打瞌𥅻	tan khaq tshon	tan khaq tshon	53
打瞌銃	打瞌铳	tan khaq tshon	tan khaq tshon	53
打磕銃	打磕铳	tan khaq tshon	tan khaq tshon	53
打稻機	打稻机	tan dau ci	tan dau ci	53
打水機船	打水机船	tan syu ci zoe	tan syu ci zoe	53
打花㪝槌	打花㪝槌	tan huo li dzyu	tan huo li dzyu	53
巧	巧	chiau3	chiau3	53
正式	正式	cin shiq	cin shiq	54
正向	正向	cin shian	cin shian	54
正夠	正够	cin keu	cin keu	54
正月頭面	正月头面	cin yuq deu mi	cin yuq deu mi	54
正當正氣	正当正气	cin taon cin chi	cin taon cin chi	54
正好有數	正好有数	cin hau yeu su	cin hau yeu su	54
撲落	扑落	phoq loq	phoq loq	54
撲粉團	扑粉团	phoq fen doe	phoq fen doe	54
節邊	节边	ciq pi	ciq pi	54
節肯	节肯	ciq khen	ciq khen	54
節跟	节跟	ciq ken	ciq ken	54
節日頭間	节日头间	ciq gniq deu kae	ciq gniq deu kae	54
節頭節尾	节头节尾	ciq deu ciq mi	ciq deu ciq mi	55
本當	本当	pen taon	pen taon	55
本介	本介	pen ka	pen ka	55
可	可	khou3	khou3	55
可憐	可怜	khou li	khou li	55
可惡	可恶	khou u	khou u	55
石宕	石宕	zaq daon	zaq daon	55
石硬	石硬	zaq ngan	zaq ngan	55
石撞	石撞	zaq dzaon	zaq dzaon	55
石撞	石撞	zaq gaon	zaq gaon	55
石庫門	石库门	zaq khu men	zaq khu men	55
石庫牆門	石库墙门	zaq khu zhian men	zaq khu zhian men	55
石骨硬	石骨硬	zaq kuaq ngan	zaq kuaq ngan	56
石骨鐵硬	石骨铁硬	zaq kuaq thiq ngan	zaq kuaq thiq ngan	56
布衫	布衫	pu sae	pu sae	56
布襴	布襕	pu lae	pu lae	56
夯頭	夯头	han deu	han deu	56
龍頭	龙头	lon deu	lon deu	56
龍蝦	龙虾	lon huo	lon huo	56
龍骨	龙骨	lon kuaq	lon kuaq	56
龍頭薧	龙头薧	lon deu khau	lon deu khau	56
龍光閃	龙光闪	lon kuaon shi	lon kuaon shi	56
龍鬚筍	龙须笋	lon syu syun	lon syu syun	57
平過	平过	bin kou	bin kou	57
平準	平准	bin tsyun	bin tsyun	57
平菇	平菇	bin ku	bin ku	57
平鑊蓋	平镬盖	bin ghoq ke	bin ghoq ke	57
軋	轧	gaq8	gaq8	57
軋頭	轧头	gaq deu	gaq deu	57
軋道	轧道	gaq dau	gaq dau	57
軋一腳	轧一脚	gaq iq ciaq	gaq iq ciq	57
軋朋友	轧朋友	gaq ban yeu	gaq ban yeu	57
軋迾門	轧迾门	gaq laq men	gaq laq men	57
軋力軋煞	轧力轧煞	gaq liq gaq saq	gaq liq gaq saq	58
軋裏軋煞	轧里轧煞	gaq li gaq saq	gaq li gaq saq	58
東西	东西	ton shi	ton shi	58
東道	东道	ton dau	ton dau	58
北瓜	北瓜	poq kuo	poq kuo	58
佔擺	占摆	ci pa	ci pa	58
佔相因	占相因	ci shian in	ci shian in	58
舊年	旧年	jieu gni	jieu gni	58
舊年子	旧年子	jieu gni tsy	jieu gni tsy	58
舊挪挪	旧挪挪	jieu na na	jieu na na	58
歸	归	kuei1	kuei1	58
歸陰	归阴	kuei in	kuei in	58
且是	且是	chia zy	chia zy	58
且看	且看	chia khi	chia khi	59
看其	看其	khi ji	khi ji	59
且叩	且叩	chia kheu	chia kheu	59
倒叩	倒叩	tau kheu	tau kheu	59
且顧	且顾	chia ku	chia ku	59
葉爿	叶爿	yiq bae	yiq bae	59
申報紙	申报纸	syun pau tsy	syun pau tsy	59
申報紙	申报纸	shin pau tsy	shin pau tsy	59
電燈貓	电灯猫	di ten mae	di ten mae	59
電線屋柱	电线屋柱	di shi oq dzyu	di shi oq dzyu	59
電線木頭	电线木头	di shi moq deu	di shi moq deu	59
田頭	田头	di deu	di deu	59
田畈	田畈	di pae	di pae	59
田塍	田塍	di yin	di yin	59
田螺欶	田螺欶	di lou soq	di lou soq	59
田螺欶	田螺欶	di lou shiuq	di lou shiuq	59
田雞噥噥	田鸡哝哝	di ci nhon nhon	di ci nhon nhon	60
由手	由手	yeu shieu	yeu shieu	60
只只	只只	ciq ciq	ciq ciq	60
只弗	只弗	ciq vaq	ciq faq	60
嘰⿰口鄒	叽⿰口邹	ci tseu	ci tseu	60
叫	叫	ciau5	ciau5	60
叫子	叫子	ciau tsy	ciau tsy	60
叫子	叫子	ciau tsyu	ciau tsyu	60
叫扁	叫扁	ciau pi	ciau pi	60
叫𧐖	叫𧐖	ciau li	ciau li	60
四隻眼	四只眼	sy tsaq ngae	sy tsaq ngae	60
四團六圈	四团六圈	sy doe loq chiu	sy doe loq chiu	60
四明南詞	四明南词	sy min nei dzy	sy min nei dzy	60
四日兩頭班	四日两头班	sy gniq lian deu pae	sy gniq lian deu pae	61
生	生	san1	san1	61
生三	生三	sen sae	sen sae	61
生頭	生头	san deu	san deu	61
生死	生死	sen sy	sen sy	61
生好	生好	san hau	san hau	61
生相	生相	san shian	san shian	61
生鹹	生咸	san ghae	san ghae	61
生活	生活	san waq	san waq	62
生活	生活	san wo	san wo	62
生起	生起	san chi	san chi	62
生梨	生梨	san li	san li	62
梨頭	梨头	li deu	li deu	62
生儠	生儠	san laq	san laq	62
生姆孃	生姆娘	san m gnian	san m gnian	62
生腥氣	生腥气	san shin chi	san shin chi	62
生意人	生意人	san i gnin	san i gnin	62
生頭陌腳	生头陌脚	san deu maq ciaq	san deu maq ciq	62
生苦結鹹	生苦结咸	san khu ciq ghae	san khu ciq ghae	62
生苦結鹹	生苦结咸	san ku ciq ghae	san ku ciq ghae	62
生苦結鹹	生苦结咸	san khu thiq ghae	san khu thiq ghae	62
生苦結鹹	生苦结咸	san ku thiq ghae	san ku thiq ghae	62
生病勢痛	生病势痛	san bin syu thon	san bin syu thon	62
生病黃魚	生病黄鱼	san bin waon ng	san bin waon ng	62
失	失	syuq7	soq7	63
失心	失心	syuq shin	soq shin	63
失撇	失撇	syuq phiq	soq phiq	63
丘	丘	chieu1	chieu1	63
仗毛力	仗毛力	cian mau liq	cian mau liq	63
𠆩	𠆩	fae5	fae5	63
𠆩頭	𠆩头	fae deu	fae deu	63
𠆩登	𠆩登	fae ten	fae ten	63
𠆩登陸阿二	𠆩登陆阿二	fae ten loq aq gni	fae ten loq aq gni	63
白花	白花	baq huo	baq huo	63
白眼	白眼	baq ngae	baq ngae	64
白鴿	白鸽	baq kaq	baq kaq	64
白蒲	白蒲	baq bu	baq bu	64
白籃	白篮	baq lae	baq lae	64
白蟹	白蟹	baq ha	baq ha	64
白大頭	白大头	baq dou deu	baq dou deu	64
白大頭	白大头	baq dou dei	baq dou dei	64
白日撞	白日撞	baq gniq dzaon	baq gniq dzaon	64
白米米	白米米	baq mi mi	baq mi mi	64
白米米	白米米	baq mhi mhi	baq mhi mhi	64
白身人	白身人	baq shin gnin	baq shin gnin	64
白肚皮	白肚皮	baq du bi	baq du bi	64
白泥其	白泥其	baq gni ji	baq gni ji	64
白洋洋	白洋洋	baq yan yan	baq yan yan	64
白荼荼	白荼荼	baq du du	baq du du	65
白鴿籠	白鸽笼	baq kaq lon	baq kaq lon	65
白殕殕	白殕殕	baq fu fu	baq fu fu	65
白帽頭	白帽头	baq mau deu	baq mau deu	65
白蒲棗	白蒲枣	baq bu tsau	baq bu tsau	65
白懈懈	白懈懈	baq ga ga	baq ga ga	65
白䵣䵣	白䵣䵣	baq thaq thaq	baq thaq thaq	65
白黢黢	白黢黢	baq tshyuq tshyuq	baq tshyuq tshyuq	65
白䩍䩍	白䩍䩍	baq liau liau	baq liau liau	65
白白力力	白白力力	baq baq liq liq	baq baq liq liq	66
白白力力	白白力力	baq baq li li	baq baq li li	66
白米飯蝦	白米饭虾	baq mi vae huo	baq mi vae huo	66
白糖砒霜	白糖砒霜	baq daon phi saon	baq daon phi saon	66
仔	仔	tsy3	tsy3	66
仔潔	仔洁	tsy ciq	tsy ciq	66
仔𡀂	仔𡀂	tsy lei	tsy lei	66
仞	仞	zyun6	zyun6	66
甩龍橋	甩龙桥	guae lon jiau	guae lon jiau	66
印	印	in5	in5	67
印糕板	印糕板	in kau pae	in kau pae	67
樂胃	乐胃	loq wei	loq wei	67
犯對	犯对	vae tei	vae tei	67
犯關	犯关	vae kuae	vae kuae	67
犯怏	犯怏	vae aon	vae aon	67
犯夜	犯夜	vae ya	vae ya	67
犯界	犯界	vae ka	vae ka	67
犯賤	犯贱	vae zhi	vae zhi	67
犯着	犯着	vae dzoq	vae dzoq	67
犯落	犯落	vae loq	vae loq	67
捋落	捋落	laq loq	laq loq	67
外廂	外厢	nga shian	nga shian	67
鳥頭	鸟头	tiau deu	tiau deu	67
務心	务心	wu shin	wu shin	67
務心	务心	vu shin	wu shin	67
包	包	pau1	pau1	67
包頭	包头	pau deu	pau deu	67
包梢	包梢	pau sau	pau sau	67
包心菜	包心菜	pau shin tshe	pau shin tshe	69
包頭布	包头布	pau deu pu	pau deu pu	69
主	主	tsyu1	tsyu3	69
主	主	dzyu2	dzyu6	69
市面	市面	zy mi	zy mi	69
立骨瘦	立骨瘦	liq kuaq seu	liq kuaq seu	69
立時三刻	立时三刻	liq zy sae khaq	liq zy sae khaq	69
立時裏	立时里	liq zy li	liq zy li	69
閃	闪	shi3	shi3	69
蘭花豌豆	兰花豌豆	lae huo ou deu	lae huo ou deu	69
半中大	半中大	pun tson dou	pu tson dou	69
半夜過	半夜过	pun ya kou	pu ya kou	69
半夜餐	半夜餐	pun ya tshae	pu ya tshae	70
半雌雄	半雌雄	pun tshy yon	pu tshy yon	70
半生裏熟	半生里熟	phun san li zoq	phu san li zoq	70
半生裏熟	半生里熟	phun san mi zoq	phu san mi zoq	70
半弗牢告	半弗牢告	pun vaq lau kau	pu faq lau kau	70
半弗冷打	半弗冷打	pun vaq lan tan	pu faq lan tan	70
半邊鐘頭	半边钟头	pun pi tson deu	pu pi tson deu	70
半死爛活	半死烂活	pun shi lae waq	pu shi lae waq	70
半當中央	半当中央	pun taon tson gnian	pu taon tson gnian	70
半半六十日	半半六十日	pun pun loq zyuq gniq	pu pu loq zoq gniq	70
汁	汁	ciq7	ciq7	70
汁水	汁水	ciq syu	ciq syu	70
汁湯	汁汤	ciq thaon	ciq thaon	70
匯角	汇角	wei koq	wei koq	70
匯角沿	汇角沿	wei koq yi	wei koq yi	70
匯角頭	汇角头	wei koq deu	wei koq deu	70
頭	头	deu2	deu2	70
頭大	头大	deu dou	deu dou	71
頭子	头子	deu tsy	deu tsy	71
頭毛	头毛	deu mau	deu mau	71
頭網	头网	deu maon	deu maon	71
頭網子	头网子	deu maon tsy	deu maon tsy	71
頭回	头回	deu wei	deu wei	71
頭回子	头回子	deu wei tsy	deu wei tsy	71
頭挑	头挑	deu thiau	deu thiau	71
頭鈿	头钿	deu di	deu di	71
頭家	头家	deu ko	deu ko	71
頭埭	头埭	deu da	deu da	71
頭頸	头颈	deu cin	deu cin	72
頭繩	头绳	deu zhin	deu zhin	72
頭路	头路	deu lu	deu lu	72
頭毛子	头毛子	deu mau tsy	deu mau tsy	72
頭後日	头后日	deu gheu gniq	deu gheu gniq	72
頭前日	头前日	deu zhi gniq	deu zhi gniq	72
頭起家	头起家	deu chi ko	deu chi ko	72
頭顛心	头颠心	deu ti shin	deu ti shin	72
頭頂心	头顶心	deu tin shin	deu tin shin	72
頭頭後日	头头后日	deu deu gheu gniq	deu deu gheu gniq	72
頭頭順流	头头顺流	deu deu zyun lieu	deu deu zyun lieu	72
頭頭前日	头头前日	deu deu zhi gniq	deu deu zhi gniq	72
頭塊牌子	头块牌子	deu khuei ba tsy	deu khuei ba tsy	72
頭暈惺轟	头晕惺轰	deu yun shin hon	deu yun shin hon	72
頭痛膨脹	头痛膨胀	deu thon ban cian	deu thon ban cian	73
漢	汉	he5	hei5	73
寧使	宁使	nen sy	nen sy	73
寧波走書	宁波走书	gnin pou tseu syu	gnin pou tseu syu	73
寧波評話	宁波评话	gnin pou bin wo	gnin pou bin wo	73
討飯	讨饭	thau vae	thau vae	73
討債鬼	讨债鬼	thau tsa ciu	thau tsa ciu	73
寫意	写意	shia i	shia i	73
𧥣	𬣚	kheu5	kheu5	74
記	记	ci5	ci5	74
記認	记认	ci gnin	ci gnin	74
記防	记防	ci baon	ci baon	74
記情	记情	ci jin	ci jin	74
司衛鐵	司卫铁	sy wei thiq	sy wei thiq	74
司的克	司的克	sy tiq khaq	sy tiq khaq	74
司帶塔	司带塔	sy ta thaq	sy ta thaq	74
弗	弗	vaq8	faq7	75
勿	勿	vaq8	vaq8	75
弗對	弗对	vaq tei	faq tei	75
弗過	弗过	vaq kou	faq kou	75
弗來	弗来	vaq le	faq le	75
弗知	弗知	faq ciq	faq ciq	75
弗是	弗是	vaq zy	faq zy	75
弗像	弗像	vaq zhian	faq zhian	75
弗入流	弗入流	vaq zyuq lieu	faq zoq lieu	75
弗上課	弗上课	vaq zaon khou	faq zaon khou	76
弗長毛	弗长毛	vaq cian mau	faq cian mau	76
弗老氣	弗老气	vaq lau chi	faq lau chi	76
弗在內	弗在内	vaq dze nei	faq dze nei	76
弗作興	弗作兴	vaq tsoq shin	faq tsoq shin	76
弗肯歇	弗肯歇	vaq khen shiq	faq khen shiq	76
弗捨得	弗舍得	vaq so taq	faq so taq	76
弗怯氣	弗怯气	vaq chiq chi	faq chiq chi	77
弗相似	弗相似	vaq shian zy	faq shian zy	77
弗是介	弗是介	vaq zy ka	faq zy ka	77
弗爽快	弗爽快	vaq saon khua	faq saon khua	77
弗做肉	弗做肉	vaq tsou gnioq	faq tsou gnioq	77
弗得知	弗得知	vaq toq tsyu	faq toq tsyu	77
弗着港	弗着港	vaq jiaq kaon	faq jiq kaon	77
弗管帳	弗管帐	vaq kun cian	faq ku cian	78
弗二弗三	弗二弗三	vaq gni vaq sae	faq gni faq sae	78
弗上弗落	弗上弗落	vaq zaon vaq loq	faq zaon faq loq	78
弗打記頭	弗打记头	vaq tan ci deu	faq tan ci deu	78
弗生弗絞	弗生弗绞	vaq san vaq gau	faq san faq gau	78
弗生好心	弗生好心	vaq san hau shin	faq san hau shin	78
弗問長短	弗问长短	vaq men jian toe	faq men jian toe	78
弗是話頭	弗是话头	vaq zy wo deu	faq zy wo deu	78
弗是生意經	弗是生意经	vaq zy san i cin	faq zy san i cin	78
出	出	tshyuq7	tshyuq7	78
出天	出天	tshyuq thi	tshyuq thi	78
出氣	出气	tshyuq chi	tshyuq chi	79
出白	出白	tshyuq baq	tshyuq baq	79
出場	出场	tshyuq jian	tshyuq jian	79
出產	出产	tshyuq sae	tshyuq sae	79
出格	出格	tshyuq kaq	tshyuq kaq	79
出道	出道	tshyuq dau	tshyuq dau	79
出蜃	出蜃	tshyuq zyun	tshyuq zyun	79
出跳	出跳	tshyuq thiau	tshyuq thiau	79
出䠷	出䠷	tshyuq thiau	tshyuq thiau	79
出數	出数	tshyuq su	tshyuq su	79
出閒話	出闲话	tshyuq ghae wo	tshyuq ghae wo	80
出搶花	出抢花	tshyuq chian huo	tshyuq chian huo	80
出事體	出事体	tshyuq zy thi	tshyuq zy thi	80
出眼淚	出眼泪	tshyuq ngae li	tshyuq ngae li	80
出騙頭	出骗头	tshyuq phi deu	tshyuq phi deu	80
出窠孃	出窠娘	tshyuq khou gnian	tshyuq khou gnian	80
出頭椽子	出头椽子	tshyuq deu dzoe tsy	tshyuq deu dzoe tsy	80
奶奶	奶奶	nhe nhe	nhe nhe	80
奶酣	奶酣	na he	na hei	80
加氣	加气	ko chi	ko chi	80
加氣煩腦	加气烦脑	ko chi vae nau	ko chi vae nau	80
皮夾	皮夹	bi kaq	bi kaq	80
皮頓頓	皮顿顿	bi ten ten	bi ten ten	81
皮蛋缸	皮蛋缸	bi dae kaon	bi dae kaon	81
邊	边	pi1	pi1	81
邊沿頭	边沿头	pi yi deu	pi yi deu	81
邊沿頭	边沿头	pi yi dei	pi yi dei	81
邊打邊像	边打边象	pi tan pi zhian	pi tan pi zhian	81
發	发	faq7	faq7	81
發心	发心	faq shin	faq shin	81
發出	发出	faq tshyuq	faq tshyuq	81
發花	发花	faq huo	faq huo	82
發食	发食	faq zhiq	faq zhiq	82
發送	发送	faq son	faq son	82
發棵	发棵	faq khou	faq khou	82
發喥	发喥	faq du	faq du	82
發喥性	发喥性	faq du shin	faq du shin	82
發嗝	发嗝	faq kaq	faq kaq	82
發䨣	发䨣	faq phoq	faq phoq	82
發大興	发大兴	faq da shin	faq da shin	82
發熱昏	发热昏	faq gniq huen	faq gniq huen	82
發痧氣	发痧气	faq so chi	faq so chi	82
發酵粉	发酵粉	faq kau fen	faq kau fen	83
對上	对上	tei zaon	tei zaon	83
對手	对手	tei shieu	tei shieu	83
對出	对出	tei tshyuq	tei tshyuq	83
對頭	对头	tei deu	tei deu	83
對江	对江	tei kaon	tei kaon	83
對進	对进	tei cin	tei cin	83
對河	对河	tei ghou	tei ghou	83
對河岸	对河岸	tei ghou nge	tei ghou nge	83
對河干岸	对河干岸	tei ghou ki nge	tei ghou ki nge	83
對注	对注	tei tsyu	tei tsyu	83
對帶	对带	tei ta	tei ta	83
對帶	对带	tei tan	tei tan	83
對章	对章	tei tsaon	tei tsaon	83
對落	对落	tei loq	tei loq	84
對馬路	对马路	tei mo lu	tei mo lu	84
對弗住	对弗住	tei vaq dzyu	tei faq dzyu	84
對半夾起	对半夹起	tei pun kaq chi	tei pu kaq chi	84
臺閣	台阁	de koq	de koq	84
絲巾	丝巾	sy cin	sy cin	84
絲流	丝流	sy lieu	sy lieu	84
式	式	soq7	soq7	84
動	动	don4	don6	84
動火	动火	don hou	don hou	85
動頭	动头	don deu	don deu	85
扛	扛	gaon2	gaon2	85
扛	扛	kaon1	kaon1	85
扛	扛	gaon6	gaon6	85
𢪂	𢪂	da6	da6	85
𢪂藤	𢪂藤	da den	da den	85
𢪂頭皮	𢪂头皮	da deu bi	da deu bi	85
扤	扤	nkaq7	nkaq7	85
扤	扤	yuq8	yuq8	85
老	老	lau4	lau6	86
老三	老三	lau sae	lau sae	86
老口	老口	lau kheu	lau kheu	86
老長	老长	lau jian	lau jian	86
老公	老公	lau kon	lau kon	86
男人	男人	nei gnin	nei gnin	86
男𡢿	男𭑸	nei gnion	nei gnion	86
老頭	老头	lau deu	lau deu	86
老老	老老	lau lau	lau lau	86
老湯	老汤	lau thaon	lau thaon	86
老來	老来	lau le	lau le	86
老槍	老枪	lau chian	lau chian	87
老鴉	老鸦	lau o	lau o	87
老鬼	老鬼	lau ciu	lau ciu	87
老𡢿	老𭑸	lau gnion	lau gnion	87
老婆	老婆	lau bou	lau bou	87
女人	女人	gniu gnin	gniu gnin	87
屋裏人	屋里人	oq li gnin	oq li gnin	87
老𡢿爿	老𭑸爿	lau gnion bae	lau gnion bae	87
老結	老结	lau ciq	lau ciq	87
老酒	老酒	lau cieu	lau cieu	87
老菱	老菱	lau lin	lau lin	87
老菱	老菱	lau len	lau len	87
老酵	老酵	lau kau	lau kau	87
老土地	老土地	lau thu di	lau thu di	87
